,Buyer,Average Purchase Price
535,Advance Motors Used Cars,195.122
536,Aemll Transportation,76.22
537,Af7 Auto Inc,65.88
538,Affordable Auto Rentals,143.60933333333335
539,Affordable Used Car Sales Inc,145.89666666666668
540,Afg Autos,107.055
541,Afk Auto Wholesaler Limited,193.91125
542,Afm Cars,-0.43
543,Ageless Auto Sales,77.1675
544,Aj Auto Sales Limited,116.74
545,Ak Auto Passion,111.526
546,Akbast Global Resources Inc,7.346666666666664
547,Akhtar Auto Sales,-72.10000000000001
548,Akm Automotive Limited,85.40799999999999
549,Akshar Autobody Repair Shop Limited,76.43
550,Al Janabi Naseer Jalal,67.67
551,Al Muhalhal Sons Auto Company Inc,98.05
552,Al San Underground Limited,112.68
553,Al-Furat Auto Sales Inc,99.432
554,Alaisa Auto Corp,155.08
555,Alarabi Inc,107.53448275862068
556,Alaska Legend Auto Inc,55.338
557,Alb Auto Sales Inc,96.835
558,Albanese Investments Limited - Lincoln Township Motors,116.33615384615383
559,Alberta Car Guys,91.48
560,Alberta Credit Acceptance Gateway Auto,86.36
561,Alberta Rv Motorsports Limited,104.29
562,Alberta Truck Auto Liquidators,117.67
563,Alberta Wide Sales Inc,159.39999999999998
564,Albi Chevrolet Buick Gmc Corvette,113.55
565,Albi Hyundai De Mascouche,93.7875
566,Albi Hyundai Laval Vimont,102.87
567,Albi Kia Saint-Eustache,88.62833333333333
568,Albi Kia Saint-Eustache - 9313-8519 Quebec Inc,104.37948717948716
569,Albi Le Geant,105.33873056994818
570,Albi Le Geant Inc,96.90061946902657
571,Albi Le Geant Kia,89.72666666666667
572,Albi Nissan Mascouche,96.245
573,Albion Auto Sales - 1308352 Ontario Limited,69.02461538461539
574,Alco Impex Inc,90.8
575,Alderson Automotive,231.77
576,Alfa Romeo Of Victoriamaserati Of Victoria,89.54
577,Alfa Romeo Of Winnipeg Inc,85.22866666666665
578,Alfaisal Motors Limited,95.48
579,Alhouseini Mohammed,33.83
580,All Makes Auto Sales Limited,-3.5900000000000034
581,All Out Ventures Limited,406.34
